stage,n_all,n_known,n_scored_A,n_unclear_A,sycophancy_A_heuristic,n_scored_A_heuristic,sycophancy_A,pressured_B,n_pressured_B,private_B,n_private_B,true_control_agree,n_true_control
base,60,59,59,0,0.5294117647058824,51,0.4576271186440678,0.8135593220338984,59,,0,0.9830508474576272,59
sft,60,58,58,0,0.3191489361702128,47,0.27586206896551724,0.8275862068965517,58,0.9827586206896551,58,0.9827586206896551,58
dpo,60,58,58,0,0.23076923076923078,39,0.1896551724137931,0.8448275862068966,58,0.9827586206896551,58,0.9482758620689655,58
rl,60,58,58,0,0.22727272727272727,44,0.1896551724137931,0.8793103448275862,58,0.9827586206896551,58,1.0,58
